"kode","nama","lat","lng","kode_kecamatan"
"11.01.01.2001",Keude Bakongan,2.931094803160483,97.48458404258515,"11.01.01"
"11.01.01.2002",Ujong Mangki,2.9527245335971086,97.43761867741745,"11.01.01"
"11.01.01.2003",Ujong Padang,2.9622684024777572,97.47312231864314,"11.01.01"
"11.01.01.2004",Gampong Drien,2.988566771211417,97.47295391780203,"11.01.01"
"11.01.01.2015",Darul Ikhsan,2.9230817666305313,97.4823028983678,"11.01.01"
"11.01.01.2016",Padang Beurahan,2.937177480439262,97.47204256675045,"11.01.01"
"11.01.01.2017",Gampong Baro,2.922065810453242,97.49856839320057,"11.01.01"
"11.01.02.2001",Fajar Harapan,3.1270457497256343,97.31522744914469,"11.01.02"
"11.01.02.2002",Krueng Batee,3.110387050251406,97.31758516743746,"11.01.02"
"11.01.02.2003",Pasi Kuala Asahan,3.1199048773598945,97.30183383799212,"11.01.02"
"11.01.02.2004",Gunong Pulo,3.136355845251368,97.34081480666063,"11.01.02"
"11.01.02.2005",Pulo Ie I,3.105608925693741,97.3325875332847,"11.01.02"
"11.01.02.2006",Jambo Manyang,3.095464426989236,97.32576790737164,"11.01.02"
"11.01.02.2007",Simpang Empat,3.086016213571683,97.3320113569481,"11.01.02"
"11.01.02.2008",Limau Purut,3.0877398220883174,97.34691552789268,"11.01.02"
"11.01.02.2009",Pulo Kambing,3.1008252768356535,97.35905559386693,"11.01.02"
"11.01.02.2010",Kampung Paya,3.111444082200715,97.36538833785245,"11.01.02"
"11.01.02.2011",Krueng Batu,3.1144969344486326,97.3496672706651,"11.01.02"
"11.01.02.2012",Krueng Kluet,3.1219364670140357,97.36892304244007,"11.01.02"
"11.01.02.2013",Alur Mas,3.1569182597290504,97.36663856012956,"11.01.02"
"11.01.02.2014",Kampung Tinggi,3.1283025558444857,97.37604411312763,"11.01.02"
"11.01.02.2015",Ruak,3.133503820895572,97.38464689178751,"11.01.02"
"11.01.02.2016",Simpang Lhee,3.083437879288497,97.3217747467295,"11.01.02"
"11.01.02.2017",Suaq Geuringgeng,3.085371340160963,97.3173581598015,"11.01.02"
